Table 1 List Notes,Soil Metals Notes,"Soil TPHs, BTEX & Organic Notes",VOCs Notes,SVOCs Notes,Soil Pesticides and PCBs Notes,Other Inorganic Notes,GW Metals Notes,"GW TPHs, BTEX & Organic Notes",GW VOCs Notes,GW SVOCs Notes,GW Pesticides and PCBs Notes,GW Other Inorganics Notes,Soil Vapor VOCs Notes,SW9045C_Corr Notes
bgs = below existing ground surface.,"Sb = Antimony, As = Arsenic, Ba = Barium, Be = Beryllium, Cd = Cadmium, Cr = Chromium, Cr VI = Chromium VI, Co = Cobalt, Cu = Copper,","TPHs-G = Total Petroleum Hydrocarbons (TPHs) as Gasoline; BTEX/MTBE = Benzene, Toluene, Ethylbenzene and Xylenes/Methyl tert-Butyl Ether;",VOCs = Volatile Organic Compounds,SVOCs = Semi-Volatile Organics Compounds,bgs=below existing ground surface,CN- = Cyanide. CH4 = Methane. pH = pH Analyses,"Sb = Antimony, As = Arsenic, Ba = Barium, Be = Beryllium, Cd = Cadmium, Cr = Chromium, Cr VI = Chromium VI, Co = Cobalt, Cu = Copper,",TPHs = Total Petroleum Hydrocarbons; TPHs-G= Gasoline; TPHs=Diesel; TPHs-MO=Motor Oil; MTBE=Methyl tert-butyl ether,VOCs = Volatile Organic Compounds,SVOCs = Semi-Volatile Organics Compounds,µg/L = micrograms per Liter; MFL=Millions Fiber per Liter.,"CN- = Cyanides, TSS = Total Suspended Solids, COD = Chemical Oxygen Demands, pH = pH Analyses",VOCs = Volatile Organics Compounds,None
"- - = Not Analyzed, NR = Not Required.","Pb = Lead, Hg = Mercury, Mo = Molybdenum, Ni = Nickel, Se = Selenium, Ag = Silver, Tl = Thallium, V = Vanadium, and Zn = Zinc.",TPHs-D and TPHs-MO = TPHs as Diesel and TPHs as Motor Oil,bgs=below existing ground surface,bgs=below existing ground surface,mg/Kg = milligrams per Kilogram,mg/Kg = milligrams per Kilogram; and ppb = parts per billion.,"Pb = Lead, Hg = Mercury, Mo = Molybdenum, Ni = Nickel, Se = Selenium, Ag = Silver, Tl = Thallium, V = Vanadium, and Zn = Zinc.",µg/L = micrograms per Liter; MFL=Millions Fiber per Liter.,µg/L = micrograms per Liter; MFL=Millions Fiber per Liter.,µg/L = micrograms per Liter; MFL=Millions Fiber per Liter.,"ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, July 2019).","µg/L = Micrograms per Liter, mg/L = Milligrams per liter.",bgs=below existing ground surface,
TPHs-G = Total Petroleum Hydrocarbons (TPHs) as Gasoline by United States Environmental Protection Agency (USEPA) Method 8015 modified.,WET = California Waste Extraction Test. TCLP = United States Environmental Protection Agency Toxicity Characteristic Leaching Procedure.,bgs=below existing ground surface,mg/Kg = milligrams per Kilogram,mg/Kg = milligrams per Kilogram,Regulatory Criteria:,bgs=below existing ground surface,µg/L = micrograms per Liter; MFL=Millions Fiber per Liter.,"ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, July 2019).","ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, July 2019).","ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, July 2019).","SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.","ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, July 2019).",µg/m3 = micrograms per cubic meter,
"BTEX/MTBE = Benzene, Toluene, Ethylbenzene and Xylenes; and Methyl tert-Butyl Ether by USEPA Method 8020.",mg/Kg = milligrams per Kilogram; mg/L = milligrams per Liter; % - percent by volume.,mg/Kg = milligrams per Kilogram,Regulatory Criteria:,Regulatory Criteria:,"RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.",Regulatory Criteria:,"ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's Environmental Screening Criteria (Rev. 2, January 2019).","SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.","SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.","SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.",NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,"SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.",Regulatory Criteria:,
TPHs-D and TPHs-MO = TPHs as Diesel and TPHs as Motor Oil by USEPA Method 8015 modified with silica gel cleanup.,bgs=below existing ground surface,Regulatory Criteria:,"RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.","RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.","RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.","RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.","SF Batch Discharge Limit = San Francisco Batch Wastewater Discharge Limit, May 18, 2012.",NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,and - - = Not Analyzed (see Table 1 for explanation).,Black bold denotes the respective concentration above the detected limit,"RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.",
VOCs = Volatile Organic Compounds by USEPA Method 8260.,Regulatory Criteria:,"RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.","RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.","RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.",ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,"RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.",NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,and - - = Not Analyzed (see Table 1 for explanation).,and - - = Not Analyzed (see Table 1 for explanation).,and - - = Not Analyzed (see Table 1 for explanation).,Black bold denotes the respective concentration above the detected limit,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,"RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.",
SVOCs = Semi-Volatile Organic Compounds by USEPA Method 8270 with cleanup to meet ESLs and Baylands.,"RSL - Residential = USEPA's Regional Screening Levels under residential scenario, November 2021.","RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.",ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,"Environmental Screening Criteria (Rev. 2, July 2019).",ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,and - - = Not Analyzed (see Table 1 for explanation).,Black bold denotes the respective concentration above the detected limit,Black bold denotes the respective concentration above the detected limit,Black bold denotes the respective concentration above the detected limit,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,
Pesticides = Organochlorine Pesticides by USEPA Method 8080 series with cleanup to meet ESLs and Baylands.,"RSL - Commercial = USEPA's Regional Screening Levels under commercial scenario, November 2021.",ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,"Environmental Screening Criteria (Rev. 2, July 2019).","Environmental Screening Criteria, February 2016 (Rev. 2, July 2019).","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).","Environmental Screening Criteria (Rev. 2, July 2019).",Black bold denotes the respective concentration above the detected limit,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,NA = Not Available; NR = Not required; ND = Not detected at concentrations above the respective detection limit(s);,"Environmental Screening Criteria, February 2016 (Rev. 2, July 2019).",
PCBs = Polychlorinated Biphenyls by USEPA Method 8080 series with cleanup to meet ESLs and Baylands.,ESL - Tier 1 = Tier 1 of the California Regional Water Quality Control Board - San Francisco Region's,"Environmental Screening Criteria, February 2016 (Rev. 2, July 2019).","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).","ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).",Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,Min = Minimum Concentration. Max = Maximum Concentration.,Min = Minimum Concentration. Max = Maximum Concentration.,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,and - - = Not Analyzed (see Table 1 for explanation).,"ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).",
Title-22 Metals = 17 Metals as listed in Title 22 of the California Code of Regulations by USEPA Methods 6000/7000 series.,"Environmental Screening Criteria (Rev. 2, July 2019).","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).","ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).","ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).",RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,"ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).",Min = Minimum Concentration. Max = Maximum Concentration.,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,,"ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).",
"Sb=Antimony, As=arsenic, Ba=Barium, Be=Beryllium, Cd=Cadmium, Cr=Chromium, Cr+6=Chromium VI, and Co=Cobalt.","ESL - Residential = Soil ESLs for Direct Exposure Human Health Risk Levels - Resdiential Shallow Soil (Rev. 2, July 2019).","ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).",RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,"Exposure Scenario, Any Land Use, and Any Soil Depth (Rev. 2, July 2019).",RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,,,RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,
