Reference,Abrv Reference (AEW),CAS Number,USEPA RSL Residential,USEPA RSL Industrial,ESL - Tier 1,ESL - Commerical,ESL - Construction Workers,California OSHA Permissible Exposure Limits,ESL - Residential,DTSLs SLs - Residential,DTSCs SLs - Commerical,Concentration in California Benchmark Soil,TTLC,STLCx10,STLC,TCLPx20,TCLP,Baylands Soil Processing,Lennar Urban - Candlestick Point Redevelopment,Shaklette and Boerngen,LBNL,Bradford et al.,ESL - Tier 1 (GW),SFPUC Batch Discharge Criteria,Subslab / Soil Gas ESL - Tier 1,Subslab / Soil Gas ESL - Residential,Subslab / Soil Gas ESL - Commercial,Indoor Air ESL - Tier 1,Indoor Air ESL - Residential,Indoor Air ESL - Commercial,Air DTSCs SLs - Residential,Air DTSC SLs - Commercial,California OSHA Permissible Exposure Limits (SV)
"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloro ethane",630-20-6,2,8.8,0.017,8.9,190,NA,2,2,8.8,NA,NA,NA,NA,NA,NA,2,0.017,NA,NA,NA,NA,NA,12.64726,12.647263,55.243243,0.3794179,0.3794179,1.6572973,0.38,1.7,NA
"1,1,1-Trichloroethane","1,1,1-Trichloro ethane",71-55-6,8100,36000,7,7300,7200,NA,1700,1700,7200,NA,NA,NA,NA,NA,NA,7.8,7,NA,NA,NA,NA,NA,34761.9,34761.905,146000,1042.8571,1042.8571,4380,NA,NA,1900000
"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloro ethane",79-34-5,0.6,2.7,0.018,2.7,49,NA,0.61,0.61,2.7,NA,NA,NA,NA,NA,NA,0.27,0.018,NA,NA,NA,NA,NA,1.613616,1.6136163,7.0482759,0.0484085,0.0484085,0.2114483,0.048,0.21,7000
"1,1,2-Trichloroethane","1,1,2-Trichloro ethane",79-00-5,1.1,5,0.076,5.1,6.3,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.076,NA,NA,NA,NA,NA,5.849359,5.849359,25.55,0.1754808,0.1754808,0.7665,NA,NA,45000
"1,1-Biphenyl","1,1-Biphenyl",92-52-4,47,200,0.42,200,180,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,13.90476,13.904762,58.4,0.4171429,0.4171429,1.752,1.4,6.1,NA
"1,1-Dichloroethane","1,1-Dichloro ethane",75-34-3,3.6,16,0.2,16,370,NA,3.6,3.6,16,NA,NA,NA,NA,NA,NA,1.9,0.2,NA,NA,NA,NA,NA,58.49359,58.49359,255.5,1.7548077,1.7548077,7.665,1.8,7.7,4000000
"1,1-Dichloroethene","1,1-Dichloro ethene",75-35-4,230,1000,0.54,350,350,NA,83,NA,NA,NA,NA,NA,NA,14,0.7,4.3,0.54,NA,NA,NA,NA,NA,2433.333,2433.3333,10220,73,73,306.6,NA,NA,NA
"1,1-Dichloropropene","1,1-Dichloro propene",563-58-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,2,3-Trichlorobenzene","1,2,3-Trichloro benzene",87-61-6,63,930,NA,NA,NA,NA,NA,40,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,2,3-Trichloropropane","1,2,3-Trichloro propane",96-18-4,0.0051,0.11,0.00011,0.11,0.83,NA,0.023,0.0015,0.021,NA,NA,NA,NA,NA,NA,NA,0.00011,NA,NA,NA,NA,NA,10.42857,10.428571,43.8,0.3128571,0.3128571,1.314,0.00014,0.0016,NA
